request_time,origin,destination,origin addresses,destination addresses,mode,traffic_model,Arrival time,Distance (meters),Distance (text),Duration (seconds),Duration (text),Duration in traffic (seconds),Duration in traffic (text)
2023-10-12 02:30:36.232305,"28.43164,77.07254","28.47243,77.05457","['Artemis Hospital Opd, Sector 51, Bindapur, Gurugram, Haryana 122022, India']","['Palm Court, Mehrauli Rd, Industrial Development Area, Sector 16, Gurugram, Haryana 122007, India']",driving,best_guess,1697028265,6628,6.6 km,969,16 mins,979,16 mins
2023-10-12 02:30:36.821284,"8 Hawley St, Levenshulme, Manchester M19 2QS, United Kingdom","24 Wheler St, Openshaw, Manchester M11 1DF, United Kingdom","['8 Hawley St, Levenshulme, Manchester M19 2QS, UK']","['24 Wheler St, Openshaw, Manchester M11 1DF, UK']",driving,best_guess,1697028265,7112,7.1 km,978,16 mins,933,15 mins
2023-10-12 02:30:37.484788,Paris,Milan,"['Paris, France']","['Milan, Metropolitan City of Milan, Italy']",transit,best_guess,1697028265,650799,650.8 km,45000,12 hour 30 mins,0,0 mins
2023-10-12 02:30:39.108629,"M19 2QS, United Kingdom","M11 1DF, United Kingdom","['M19 2QS, Hawley St, Manchester, UK']","['M11 1DF, Wheler St, Openshaw, Manchester, UK']",walking,best_guess,1697028265,5336,5.3 km,4475,1 hour 14 mins,0,0 mins
